block_id,transition_index,state_before,state_after
1,1,,BTC:Long
1,2,BTC:Long,BTC:Long;ETH:Short
1,3,BTC:Long;ETH:Short,AAPL:Long;BTC:Long;ETH:Short
1,4,AAPL:Long;BTC:Long;ETH:Short,ETH:Short
1,5,ETH:Short,ETH:Short;SOL:Long
2,1,ETH:Short;SOL:Long,ETH:Long;SOL:Short
2,2,ETH:Long;SOL:Short,BTC:Long;ETH:Long;SOL:Short
2,3,BTC:Long;ETH:Long;SOL:Short,BTC:Long;ETH:Long;SOL:Short
2,4,BTC:Long;ETH:Long;SOL:Short,BTC:Long;ETH:Long
2,5,BTC:Long;ETH:Long,BTC:Long
3,1,BTC:Long,BTC:Short
3,2,BTC:Short,BTC:Long
3,3,BTC:Long,BTC:Short
4,1,BTC:Short,BTC:Short
4,2,BTC:Short,BTC:Short;GOLD:Long
4,3,BTC:Short;GOLD:Long,BTC:Short;GOLD:Short
4,4,BTC:Short;GOLD:Short,BTC:Short;GOLD:Short
4,5,BTC:Short;GOLD:Short,
