block_id,transition_index_trigger,asset,action,direction
1,1,BTC,Open,Long
1,2,ETH,Open,Short
1,3,AAPL,Open,Long
1,4,AAPL,Close,Long
1,4,BTC,Close,Long
1,5,SOL,Open,Long
2,1,ETH,Close,Short
2,1,ETH,Open,Long
2,1,SOL,Close,Long
2,1,SOL,Open,Short
2,2,BTC,Open,Long
2,4,SOL,Close,Short
2,5,ETH,Close,Long
3,1,BTC,Close,Long
3,1,BTC,Open,Short
3,2,BTC,Close,Short
3,2,BTC,Open,Long
3,3,BTC,Close,Long
3,3,BTC,Open,Short
4,2,GOLD,Open,Long
4,3,GOLD,Close,Long
4,3,GOLD,Open,Short
4,5,BTC,Close,Short
4,5,GOLD,Close,Short
